Time,Event,Source
2022年,全國社區學生棒球大賽U12組冠軍戰組合出爐，黑馬三峽社區棒球隊一日兩戰，連過冠軍大熱門中大紅襪、NBA港湖，驚奇闖進最終決賽，總教練陳俊諺也直呼不可思議，「有點像今年甲子園,35
2022年,今年已經在傷兵名單待過2個月的光芒二壘手BrdoLo,35
2022年08月27日,今天被觸身球砸中手肘受傷。,35
2022年08月27日,（中央社記者沈佩瑤台北27日電）指揮中,35
2022年08月27日,心今天公布，國內增COVID-19本土病例，中重症增179例，其中40人死亡。,35
2022年08月27日,紐約洋基今（27日）繼續進行與奧克蘭運動家的4連戰，靠著當家球星AroJudg在5局上敲出的3分砲奠定勝基，加上王牌投手GrriCo主投7.1局狂飆11K僅失1分的優質先發，終場以3比2收下勝利。,35
2022年08月27日,（中央社記者謝靜雯台北27日電）旅美費城人隊野手李灝宇,35
2022年08月26日,昨天升上小聯盟高階1A,35
2022年08月27日,今天出賽開轟、高A首安就是全壘打；,35
2022年08月27日,海盜隊小聯盟1A野手鄭宗哲維持好手感，今天單場2安、跑出1次盜壘成功。,35
2022年8月27日,（駐立陶宛台灣代表處提供）中央社記者陳韻聿倫敦傳真 111年8月27日由斯邦奈公司主辦「S2O Ti潑水音樂祭」活動,35
2022年08月27日,今、明（,35
2022年08月27日,27日,35
2022年08月28日,28日）於大佳河濱公園舉辦，沒想到主辦方演出前夕公告多位國外藝人確定無法來台，甚至宣稱活動照常進行、不開放退票等引發爭議。,35
2021年10月05日,不過，近日就有網友發現，其實早在一年前的某場演出上，藝人黃豪平就曾經透露過龍龍的前男友是賀瓏，如今爆發老K與龍龍的事件，被網友翻出直呼「原來一年前的梗是這個！,36
2021年10月05日,也因為這段對話，龍龍雖然未出演該場演出，但後來也出現在現場，自己拿起麥克風表示「大家好我是龍龍，我今天讓大家猜有沒有聽到龍龍這兩個字，為什麼，因為一直有人覺得我的名字跟他重疊了，所以大家會搞混，那個人是誰，那個人就是我前男友賀瓏！,36
2022年05月28日,喜劇演員賀瓏是薩泰爾娛樂旗下藝人，28日將於TICC台北國際會議中心，舉辦首次個人專場演出《妳好就好》，讓人不免聯想到他前陣子因「前任」身分，無辜捲入「龍K事件」。,37
2022年05月02日,賀瓏接受《NOWs今日聞》專訪時，就大方公開2人交往過程，也坦承當時看到龍龍陷入低潮時，完全沒有感到心疼。,37
2021年,龍龍去年指控老K霸凌，雙方鬧得不可開交，最後被當時的經紀人康姐、同公司藝人鄭家純（雞排妹）撕開假面具後，形象跌至谷底，消失螢光幕好一陣子，而當時身為前男友的賀瓏，不斷被網友要求要出面替龍龍護航，不過他僅在臉書上發文，列出無關此事的3點聲明，似乎想果斷與對方切割，站穩自身立場，他不謾罵、不跟風的態度也意外被誇讚有風度。,37
2022年08月2日,記者蔡厚瑄／高雄澄清湖報導味全龍「大師兄」林智勝2日晚間在高雄澄清湖球場炸裂、轟出滿貫砲，生涯295轟再度刷台灣職棒紀錄，單場4打數敲3安，包辦全隊所有打點，帶領味全龍以4：1擊敗統一獅，也獲選單場MVP，而獅隊雖然推出陣中最穩的洋投布雷克，但最後仍輸給味全，苦吞5連敗，也締造隊史下半季最差開季。,38
2018年,統一獅隊史下半季最差開季原是在2018年的4連不勝（1和後3連敗）,38
2022年5月,今年5連敗也超越隊史紀錄,38
2000年,也加入2000年和信鯨,38
2008年,2008年米迪亞暴龍,38
2021年,2021年富邦悍將，以5連敗並列中職史上第3差。,38
